39,3,77516,7,13,2,3,5,0,1,2174,0,40,21,1
50,1,83311,7,13,1,7,2,0,1,0,0,13,21,1
38,4,215646,10,9,3,2,5,0,1,0,0,40,21,1
53,4,234721,8,7,1,2,2,2,1,0,0,40,21,1
28,4,338409,7,13,1,6,3,2,0,0,0,40,2,1
37,4,284582,2,14,1,7,3,0,0,0,0,40,21,1
49,4,160187,1,5,0,1,5,2,0,0,0,16,8,1
52,1,209642,10,9,1,7,2,0,1,0,0,45,21,0
31,4,45781,2,14,2,6,5,0,0,14084,0,50,21,0
42,4,159449,7,13,1,7,2,0,1,5178,0,40,21,0
37,4,280464,15,10,1,7,2,2,1,0,0,80,21,0
30,3,141297,7,13,1,6,2,1,1,0,0,40,12,0
23,4,122272,7,13,2,3,0,0,0,0,0,30,21,1
32,4,205019,0,12,2,0,5,2,1,0,0,50,21,1
40,4,121772,4,11,1,10,2,1,1,0,0,40,37,0
34,4,245487,11,4,1,14,2,3,1,0,0,45,9,1
25,1,176756,10,9,2,11,0,0,1,0,0,35,21,1
32,4,186824,10,9,2,8,4,0,1,0,0,40,21,1
38,4,28887,8,7,1,0,2,0,1,0,0,50,21,1
43,1,292175,2,14,3,7,4,0,0,0,0,45,21,0
40,4,193524,13,16,1,6,2,0,1,0,0,60,21,0
54,4,302146,10,9,5,1,4,2,0,0,0,20,21,1
35,8,76845,1,5,1,11,2,2,1,0,0,40,21,1
43,4,117037,8,7,1,14,2,0,1,0,2042,40,21,1
59,4,109015,10,9,3,13,4,0,0,0,0,40,21,1
56,0,216851,7,13,1,13,2,0,1,0,0,40,21,0
19,4,168294,10,9,2,10,0,0,1,0,0,40,21,1
54,37,180211,15,10,1,37,2,1,1,0,0,60,17,0
39,4,367260,10,9,3,7,5,0,1,0,0,80,21,1
49,4,193366,10,9,1,10,2,0,1,0,0,40,21,1
23,0,190709,0,12,2,4,5,0,1,0,0,52,21,1
20,4,266015,15,10,2,0,0,2,1,0,0,44,21,1
45,4,386940,7,13,3,7,0,0,1,0,1408,40,21,1
30,8,59951,15,10,1,3,0,0,1,0,0,40,21,1
22,3,311512,15,10,1,1,2,2,1,0,0,15,21,1
48,4,242406,8,7,2,8,4,0,1,0,0,40,30,1
21,4,197200,15,10,2,8,0,0,1,0,0,40,21,1
19,4,544091,10,9,6,3,3,0,0,0,0,25,21,1
31,4,84154,15,10,1,0,2,0,1,0,0,38,37,0
48,1,265477,0,12,1,6,2,0,1,0,0,40,21,1
31,4,507875,1,5,1,8,2,0,1,0,0,43,21,1
